Timestamp,Mode,ֿמנמד ּÝִ ןףכüעא,DoseRate_Pult,Unit_Pult,Error_%,ֿמנמד Ýִ ןףכüעא,AccumulatedDose,AccumUnit,TimeStr,ֿמנמד ֱֲִ,DoseRate_VBD,Unit_VBD
2026-07-07 19:48:11,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0931,לךַג/ק,14.3414,-,6.4344,לךַג,97:25:26,-,0.0,
2026-07-07 19:48:42,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0939,לךַג/ק,14.1733,-,6.435,לךַג,97:25:58,-,0.0,
2026-07-07 19:49:14,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0933,לךַג/ק,14.2278,-,6.4354,לךַג,97:26:30,-,0.0,
2026-07-07 19:49:46,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0948,לךַג/ק,13.9653,-,6.436,לךַג,97:27:02,-,0.0,
2026-07-07 19:50:18,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0943,לךַג/ק,13.8423,-,6.4363,לךַג,97:27:34,-,0.0,
2026-07-07 19:50:50,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0914,לךַג/ק,14.0011,-,6.4364,לךַג,97:28:06,-,0.0,
2026-07-07 19:51:22,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0893,לךַג/ק,14.1783,-,6.4365,לךַג,97:28:38,-,0.0,
2026-07-07 19:51:53,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0926,לךַג/ק,14.8308,-,6.4374,לךַג,97:29:10,-,0.0,
2026-07-07 19:52:25,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0935,לךַג/ק,14.629,-,6.4379,לךַג,97:29:42,-,0.0,
2026-07-07 19:52:56,׀ֵֶָּ 1 (ֿ׃ֻÜׂ),-,0.0937,לךַג/ק,14.4448,-,6.4383,לךַג,97:30:12,-,0.0,
